tf,session,setup,filters,target,trades,win%,PF,net$,/mo@0.5%,folds+,worst_fold$,robust
1h,ny,ob,pd+bias+sweep,fix3,32,50.0,1.49,211,9,4/6,-53,False
1h,ny,ob,pd+bias+sweep,struct,32,50.0,1.49,211,9,4/6,-53,False
15m,london+ny,ob,pd+bias+sweep+mss,fix3,78,46.2,1.17,198,8,4/6,-122,False
15m,london+ny,ob,pd+bias+sweep+mss,struct,78,46.2,1.17,198,8,4/6,-122,False
1h,all,sweep,bias+mss,fix2,84,39.3,1.14,197,8,4/6,-169,False
1h,ny,ob,pd+bias+sweep,fix2,32,43.8,1.4,193,8,4/6,-64,False
1h,london+ny,ob,pd+sweep,fix3,118,43.2,1.1,188,8,3/6,-201,False
1h,london+ny,ob,pd+sweep,struct,118,43.2,1.1,188,8,3/6,-201,False
1h,london,ob,pd+sweep,fix2,52,40.4,1.22,185,8,4/6,-92,False
1h,london,sweep,raw,fix3,152,42.8,1.08,180,8,3/6,-45,False
1h,london,sweep,raw,struct,152,42.8,1.08,180,8,3/6,-45,False
15m,london,fvg,pd+bias,fix3,120,47.5,1.09,174,7,3/6,-88,False
15m,london,fvg,pd+bias,struct,120,47.5,1.09,174,7,3/6,-88,False
1h,london,fvg,raw,fix2,205,39.5,1.05,168,7,4/6,-259,False
1h,ny,ob,pd+sweep,fix2,89,38.2,1.11,158,7,3/6,-76,False
15m,asian,ob,pd+sweep,fix3,401,43.9,1.02,157,7,3/6,-561,False
15m,asian,ob,pd+sweep,struct,401,43.9,1.02,157,7,3/6,-561,False
15m,asian,ob,pd+bias,fix3,269,44.6,1.04,156,6,3/6,-208,False
15m,asian,ob,pd+bias,struct,269,44.6,1.04,156,6,3/6,-208,False
1h,all,ob,pd+bias+sweep+mss,fix3,28,46.4,1.35,145,6,3/6,-74,False
1h,all,ob,pd+bias+sweep+mss,struct,28,46.4,1.35,145,6,3/6,-74,False
